url	repo	file	java_file	func	hunk	test	note		
https://github.com/apache/struts/commit/162e29fee9136f4bfd9b2376da2cbf590f9ea163	apache/struts	1	1	5	11	1	Makes HttpParameters case-insensitive		
https://github.com/apache/struts/commit/65efe3dc2185003d4b199fc389aa633f3a186e39	apache/struts	1	0	0	4	1	Adds additional exclude params		
https://github.com/apache/struts/commit/bf54436869c264941dd192c752a4abfaa65d3711	apache/struts	1	1	10	2	1	Always delete uploaded file		
https://github.com/apache/struts/commit/3292152f8c0a77ee4827beede82b6580478a2c2a	apache/struts	1	1	10	12	1	Always delete uploaded file		
https://github.com/apache/struts/commit/4c044f12560e22e00520595412830f9582d6dac7	apache/struts	1	1	10	12	1	Always delete uploaded file		
https://github.com/apache/struts/commit/1081c52be93abfd2f33ba8453c676e3edcedec8b	apache/struts	3	3	8	12	1	Merged from trunk WW-3858 Decouple token names from their respective session attribute names [from revision 1368827]		
https://github.com/apache/struts/commit/41f90ae39d0783f64641726e7e6b4741663c04bd	apache/struts	3	3	6	11	1	Improves accepted param names and drops support of white spaces in param names		
https://github.com/apache/struts/commit/da85bb6abd222a96ea2fb0ad9701359d12d062fe	apache/struts	1	0	0	4	1	WW-3631 - adds additional excluded params to avoid session / request / response tempering		
https://github.com/apache/struts/commit/64788152910a84e7755a8302896a1fa2d5ecef7d	apache/struts	1	1	2	3	1	WW-4805 Improves ProxyUtil performance via caching		
https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980	micronaut-projects/micronaut-security	1	1	0	1	1	Merge pull request from GHSA-qw22-8w9r-864h		
https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980	micronaut-projects/micronaut-security	1	1	0	1	1	Merge pull request from GHSA-qw22-8w9r-864h		
https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980	micronaut-projects/micronaut-security	1	1	0	1	1	Merge pull request from GHSA-qw22-8w9r-864h		
https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980	micronaut-projects/micronaut-security	1	1	0	1	1	Merge pull request from GHSA-qw22-8w9r-864h		
